,brewery,address,city,type,url,,,
65,21st Amendment Brewery,2010 Williams St Unit A,"San Leandro, CA 94577-2334 ",Type: Regional,http://www.21st-Amendment.com,,,
66,21st Amendment Brewery Cafe,563 2nd St,"San Francisco, CA 94107-1411 ",Type: Brewpub,http://www.21st-amendment.com,,,
67,23 Brewing Company / Lizzie B's Cafe,2010 KY Route 321,"Prestonsburg, KY 41653-9103 ",Type: Brewpub,http://www.23brewingcompany.com,,,
68,238 Brewing Company,10321 E Day Mt,"Spokane, WA 99021 ",Type: Micro,http://www.238brewing.com,,,
69,23rd Street Brewery,3512 Clinton Pkwy,"Lawrence, KS 66047-2145 ",Type: Brewpub,http://www.brew23.com,,,
73,2Kids Brewing Company,8680 Miralani Dr Ste 123,"San Diego, CA 92126-6391 ",Type: Micro,http://www.2kidsBrewing.com,,,
74,2nd Shift Brewing Co,1601 Sublette Ave,"Saint Louis, MO 63110-1924 ",Type: Micro,http://www.2ndshiftbrewing.com,,,
75,2nd Story Brewing Company,117 Chestnut St Frnt,"Philadelphia, PA 19106-4700 ",Type: Brewpub,http://www.2ndstorybrewing.com/,,,
76,2SP Brewing Company,120 Concord Rd,"Aston, PA 19014-2909 ",Type: Micro,http://www.2spbrewing.com,,,
77,3 Beards Beer Company,4 Main St,"Williamsburg, MA 01096 ",Type: Contract,http://www.3beardsbeer.com,,,
78,3 Daughters Brewing,222 22nd St S,"Saint Petersburg, FL 33712-1240 ",Type: Micro,http://www.3dbrewing.com,,,
79,3 Disciples Brewing,5511 Volkerts Rd,"Sebastopol, CA 95472-5937 ",Type: Micro,http://www.3disciplesbrewing.com/home,,,
80,3 Freaks Brewing Co,7140 E County Line Rd,"Highlands Ranch, CO 80126-3926 ",Type: Micro,http://www.3freaksbrewery.com,,,
81,3 Iron Brewing Company,898 Via Lata Ste A,"Colton, CA 92324-3920 ",Type: Micro,http://www.3ironbrewingco.com,,,
82,"3 Keys Brewing Company, LLC",2505 Manatee Ave E,"Bradenton, FL 34208-2421 ",Type: Brewpub,http://www.3keysbrewing.com,,,
83,3 Nations Brewing,2405 Squire Pl Ste 200,"Farmers Branch, TX 75234-4714 ",Type: Micro,http://www.threenationsbrewing.com,,,
84,3 Sheeps Brewing Co,1837 North Ave,"Sheboygan, WI 53083-4620 ",Type: Micro,http://www.3sheepsbrewing.com,,,
85,3 Sheets Brewery,2115 NW 20th Loop,"Albany, OR 97321-1106 ",Type: Micro,http://www.3sheetsbrewery.com,,,
86,3 Sons Brewing Co.,236 N Federal Hwy,"Dania, FL 33004-2870 ",Type: Contract,http://www.3sonsbrewingco.com,,,
87,3 Stars Brewing Co,6400 Chillum Pl NW Ste B,"Washington, DC 20012-2111 ",Type: Micro,http://www.3starsbrewing.com,,,
88,30 Mile Brewing Co.,39 Ragged Rock Rd Unit 5,"Old Saybrook, CT 06475-1518 ",Type: Micro,http://www.30milebrewingco.com,,,
89,300 Suns Brewing Company,335 1st Ave Unit C,"Longmont, CO 80501-5958 ",Type: Micro,http://www.300sunsbrewing.com,,,
92,350 Brewing Co,7144 183rd St,"Tinley Park, IL 60477-3933 ",Type: Brewpub,http://www.350brewing.com,,,
93,38 State Brewing,8071 S Broadway Ste A,"Littleton, CO 80122-2730 ",Type: Micro,http://www.38statebrew.com,,,
96,3cross Brewing Company,4 Knowlton Ave,"Worcester, MA 01603 ",Type: Micro,http://3crossbrewing.com,,,
97,3rd Degree Brewhouse,,"Fuquay Varina, NC 27526-7920",Type: Planning,http://www.facebook.com/3rddegreebrewhouse/,,,
98,3rd Planet Brewing,120 Partin Dr N,"Niceville, FL 32578-2053 ",Type: Micro,http://www.facebook.com/3rdplanetbrewing/,,,
99,3rd Rock Brewing Company,134 Industrial Park Dr,"Trenton, NC 28585-9593 ",Type: Micro,http://www.3rockbrew.com,,,
100,3rd Turn Brewing,10408 Watterson Trl,"Louisville, KY 40299-3702 ",Type: Micro,http://www.3rdturnbrewing.com,,,
101,3rd Wave Brewing Co,501 N Bi State Blvd,"Delmar, DE 19940-1106 ",Type: Micro,http://www.3rdwavebrewingco.com,,,
102,4 By 4 Brewing Company,2811 E Galloway St Ste A,"Springfield, MO 65804-4601 ",Type: Micro,http://www.4by4brewingcompany.com,,,
104,4 Noses Brewing Company,8855 W 116th Cir Ste 3,"Broomfield, CO 80021-2521 ",Type: Micro,http://4nosesbrewing.com,,,
105,400 North Brewing,,"Sugar Hill, GA 30518-7916",Type: Planning,http://400northbrewing.com,,,
106,406 Brewing Company,111 E Oak St Ste 1A,"Bozeman, MT 59715-2967 ",Type: Micro,http://www.406brewingcompany.com,,,
108,412 Brews,706 Island Ave,"Mc Kees Rocks, PA 15136-3287 ",Type: Brewpub,http://www.412brews.com,,,
109,42 North Brewing Company,25 Pine St,"East Aurora, NY 14052-1827 ",Type: Brewpub,http://www.42northbrewing.com,,,
110,450 North Brewing Company @ Simmons Winery,8111 E 450 N,"Columbus, IN 47203-8106 ",Type: Brewpub,http://www.450northbrewing.com,,,
111,47 Hills Brewing Co,137 S Linden Ave,"South San Francisco, CA 94080-6410 ",Type: Brewpub,http://47hillsbrewingcompany.com,,,
113,49th State Brewing Co - Anchorage,717 W 3rd Ave,"Anchorage, AK 99501-2104 ",Type: Brewpub,http://www.49statebrewing.com/,,,
114,4B's Brewery,215 W Main St,"Cedaredge, CO 81413-3339 ",Type: Brewpub,http://www.4bsbrewery.com,,,
115,4kd Crick Brewery,211 Carpenter Rd,"Defiance, OH 43512-1718 ",Type: Brewpub,http://Www.4kdcrickbrewery.com,,,
118,5 Lakes Brewing Co.,1638 142nd Ave,"Dorr, MI 49323-9312 ",Type: Brewpub,http://www.5lakesbrewing.com,,,
119,5 Rabbit Cerveceria Inc,6398 W 74th St,"Chicago, IL 60638-6129 ",Type: Micro,http://www.5rabbitbrewery.com,,,
120,5 Rights Brewing Co,7028 46th St NE,"Marysville, WA 98270-6989 ",Type: Micro,http://www.5rightsbrewing.com,,,
121,5 Rivers Brewing LLC,,"Spanish Fort, AL 36527-3161",Type: Planning,http://5riversbrewing.com,,,
122,5 Seasons Brewing Co - Prado,5600 Roswell Rd,"Sandy Springs, GA 30342-1150 ",Type: Brewpub,http://www.5seasonsbrewing.com,,,
125,515 Brewing Co,7700 University Ave,"Clive, IA 50325-1271 ",Type: Micro,http://www.515brewing.com,,,
126,5150 Brewing At The Brass Tap Rocklin,5150 Commons Dr Ste 101,"Rocklin, CA 95677-3925 ",Type: Micro,http://www.brasstaprocklin.com,,,
127,51st State Brewing Company,115 Harding Ave,"Kingsford, MI 49802-3815 ",Type: Brewpub,http://www.51ststatebrewingcompany.com,,,
129,54-40 Brewing Company,3801 S Truman Rd Ste 1,"Washougal, WA 98671-2589 ",Type: Micro,http://www.54-40brewing.com,,,
130,550 Brewing,119 E Chuska St,"Aztec, NM 87410-2110 ",Type: Proprietor,http://Www.550brew.com,,,
131,559 Local Brewing,608 4th St,"Clovis, CA 93612-1183 ",Type: Micro,http://www.fresnobrewingcompany.com,,,
132,56 Brewing,3055 Columbia Ave NE Ste 102,"Minneapolis, MN 55418-1860 ",Type: Micro,http://www.56brewing.com,,,
133,57 Brew Pub & Bistro,1310 W Washington St,"Greenville, MI 48838-2190 ",Type: Brewpub,http://www.57brewpub.com,,,
134,5770 Brewery,,"Teutopolis, IL 62467-1355",Type: Planning,http://www.5770brewery.com,,,
136,5x5 Brewing Co.,,"Mission, TX 78572-6215",Type: Planning,http://www.5x5brewing.com,,,
137,6 & 40 Brewery/Taproom,,"Denver, CO 80215-5548",Type: Planning,http://www.tomsbrewshop.com,,,
138,"6 Bears & A Goat Brewing Company, LLC",1140 International Pkwy,"Fredericksburg, VA 22406-1126 ",Type: Brewpub,http://www.6bgbrewingco.com,,,
139,6 Degrees of Separation,35 Main St,"Ossining, NY 10562-4662 ",Type: Brewpub,http://www.6degreesbp.com,,,
140,603 Brewery,12 Liberty Dr Unit 7,"Londonderry, NH 03053-2286 ",Type: Micro,http://www.603brewery.com,,,
141,608 Brewing Company,,"Holmen, WI 54636-9199",Type: Planning,http://www.608brewingcompany.com,,,
142,612 Brew,945 Broadway St NE,"Minneapolis, MN 55413-1471 ",Type: Micro,http://www.612brew.com,,,
143,7 Devils Brewing Co,247 S 2nd St,"Coos Bay, OR 97420-1642 ",Type: Brewpub,http://www.7devilsbrewery.com,,,
144,7 Hermits Brewing Company,PO Box 3186,"Eagle, CO 81631-3186 ",Type: Brewpub,http://www.7hermitsbrewing.com,,,
145,7 Hills Brewing Company,1085 Washington St,"Dubuque, IA 52001-4932 ",Type: Brewpub,http://www.7hillsbrew.com,,,
146,7 Locks Brewing,12227 Wilkins Ave,"Rockville, MD 20852-1833 ",Type: Micro,http://www.7locksbrewing.com,,,
147,7 Mile Brewery,PO Box 385,"Stone Harbor, NJ 08247-0385 ",Type: Micro,http://www.7milebrew.com,,,
148,7 Seas Brewing Co,2101 Jefferson Ave,"Tacoma, WA 98402-1519 ",Type: Micro,http://www.7seasbrewing.com,,,
149,7 Sins Brewery,10593 W Main Rd,"Ripley, NY 14775-9746 ",Type: Micro,http://www.7sinsbrewery.com,,,
150,7 Sisters Brewing Co,181 Tank Farm Rd Ste 110,"San Luis Obispo, CA 93401-7082 ",Type: Brewpub,http://www.7sistersbrewing.com,,,
151,"718BrewCafe, LLP",718 Market St,"Metropolis, IL 62960-1634 ",Type: Brewpub,http://www.718BrewCafe.com,,,
152,7th Settlement Brewery,47 Washington St,"Dover, NH 03820-3877 ",Type: Brewpub,http://www.7thsettlement.com,,,
153,7th Wave Brewing,120 N Meadows Rd Ste 8,"Medfield, MA 02052-1594 ",Type: Micro,http://www.7thwavebrewing.com,,,
154,7venth Sun Brewery,1012 Broadway,"Dunedin, FL 34698-5762 ",Type: Micro,http://www.7venthsun.com,,,
156,8 Bit Brewing Company,26755 Jefferson Ave Ste F,"Murrieta, CA 92562-6941 ",Type: Brewpub,http://www.8bitbrewerycompany.com,,,
157,81Bay Brewing Company,4465 W Gandy Blvd Ste 600,"Tampa, FL 33611-3379 ",Type: Micro,http://81baybrewco.com,,,
159,8-Bit Aleworks,1050 N Fairway Dr Bldg F Ste 10,"Avondale, AZ 85323-5206 ",Type: Micro,http://www.8-bitaleworks.com,,,
160,8one8 Brewing Company,8951 de Soto Ave,"Canoga Park, CA 91304-5901 ",Type: Micro,http://www.818brewing.com,,,
161,8th Street Ale Haus,1132 N 8th St,"Sheboygan, WI 53081-3402 ",Type: Brewpub,http://www.sheboyganalehaus.com,,,
163,8th Wonder Brewery,2202 Dallas St,"Houston, TX 77003-3519 ",Type: Micro,http://www.8thwonderbrew.com,,,
164,903 Brewers,1720 S Elm St,"Sherman, TX 75090-8725 ",Type: Micro,http://www.903brewers.com,,,
165,927 Beer Company,821 Cornwall St,"Cambria, CA 93428-2434 ",Type: Micro,http://www.cambriabeerco.com,,,
166,"940 South 3rd Street, LLC",,",  ",Type: Planning,http://robbrshrader@bellsouth.net,,,
168,A Little Madness Brewing Company,,"Pensacola, FL 32514-8122",Type: Planning,http://www.ALittleMadnessBrewingCompany.com,,,
169,Aardwolf Brewing Company,1461 Hendricks Ave,"Jacksonville, FL 32207-8622 ",Type: Micro,http://www.aardwolfbrewing.com,,,
170,Abandon Brewing,2994 Merritt Hill Rd,"Penn Yan, NY 14527-8938 ",Type: Micro,http://www.abandonbrewing.com,,,
171,Abandoned Building Brewery,142 Pleasant St Unit 103A,"Easthampton, MA 01027-2805 ",Type: Micro,http://www.abandonedbuildingbrewery.com,,,
173,"Abbey Brewing Company, LLC",PO Box 22779,"Santa Fe, NM 87502-2779 ",Type: Micro,http://www.abbeybrewing.biz,,,
174,Abbey of the Holy Goats,4000 Northfield Way Ste 800,"Roswell, GA 30076-4980 ",Type: Micro,http://www.abbeyoftheholygoats.com,,,
175,Aberrant Ales,219 W Grand River Ave,"Howell, MI 48843 ",Type: Brewpub,http://www.aberrantales.com,,,
176,Abide Brewing Company,110 Werz Industrial Blvd Ste 130,"Newnan, GA 30263-5802 ",Type: Micro,http://www.abidebrewing.com,,,
177,Abigaile,1301 Manhattan Ave,"Hermosa Beach, CA 90254-3666 ",Type: Brewpub,http://abigailrestaurant.com,,,
178,Abita Brewing Co,166 Barbee Rd,"Covington, LA 70433-8651 ",Type: Regional,http://www.abita.com,,,
179,Abjuration Brewing,644 Broadway Ave,"Mc Kees Rocks, PA 15136-3008 ",Type: Micro,http://www.abjurationbrewing.com,,,
180,Able Baker Brewing,10807 Intro Ave,"Las Vegas, NV 89135-1773 ",Type: Micro,http://www.ablebakerbrewing.com,,,
181,Able Ebenezer Brewing Company,31 Columbia Cir,"Merrimack, NH 03054-4161 ",Type: Micro,http://www.ableebenezer.com,,,
182,Able Seedhouse and Brewery,1121 Quincy St NE,"Minneapolis, MN 55413-2773 ",Type: Micro,http://www.ablebeer.com,,,
185,Abolitionist Ale Works,129 W Washington St,"Charles Town, WV 25414-1529 ",Type: Brewpub,http://www.abolitionistaleworks.com,,,
186,Abridged Beer Company,100 Lockett Rd,"Knoxville, TN 37919-4807 ",Type: Brewpub,http://www.abridgedbeer.com,,,
187,Absolution Brewing Co,2878 Columbia St,"Torrance, CA 90503-3808 ",Type: Micro,http://www.absolutionbrewingcompany.com,,,
189,Accomplice Beer Company,115 W 15th St,"Cheyenne, WY 82001-4564 ",Type: Brewpub,http://www.accomplicebeer.com,,,
191,Acopon Brewing Co,211 W Mercer St,"Dripping Springs, TX 78620-5363 ",Type: Micro,http://www.acoponbrewing.com,,,
192,Acoustic Ales Brewing Experiment,1795 Hancock St Ste P1,"San Diego, CA 92110-2006 ",Type: Micro,http://www.acousticales.com,,,
193,"Actual Brewing Company, LLC",655 N James Rd,"Columbus, OH 43219-1837 ",Type: Micro,http://wwww.actualbeer.com,,,
194,Adam's Northwest Bistro / Twin Rivers Brewing,104 N Lewis St,"Monroe, WA 98272-1502 ",Type: Brewpub,http://www.adamsnwbistro.com,,,
195,Adelbert's Brewery LLC,2314 Rutland Dr Ste 100,"Austin, TX 78758-5273 ",Type: Micro,http://www.adelbertsbeer.com,,,
196,Adirondack Pub and Brewery,33 Canada St,"Lake George, NY 12845-1603 ",Type: Micro,http://www.adkpub.com,,,
197,Adirondack Toboggan Company Microbrewery,202A W Main St,"Gouverneur, NY 13642-1334 ",Type: Micro,http://www.adktoboggan.net,,,
198,AdMerk Corp. Inc.,20 F St NW,"Washington, DC 20001-6700 ",Type: Contract,http://www.paugustin.com,,,
199,Adobe Creek Brewing Company,67 Galli Dr Ste E,"Novato, CA 94949-5718 ",Type: Micro,http://www.adobecreekbrewing.com,,,
200,Adroit Theory Brewing Company,404 Browning Ct Unit C,"Purcellville, VA 20132-6171 ",Type: Micro,http://www.adroit-theory.com,,,
201,Adventure Brewing Co,33 Perchwood Dr Ste 101,"Fredericksburg, VA 22405-4552 ",Type: Micro,http://www.adventurebrewing.com,,,
203,Aero Craft Brewing,,"Denver, CO 80212-2199",Type: Planning,http://www.aerocraft.beer,,,
204,Aero Plains Brewing,117 N Handley St,"Wichita, KS 67203-6114 ",Type: Micro,http://www.aeroplainsbrewing.com,,,
205,Aeronaut Brewing Company,14 Tyler St,"Somerville, MA 02143-3224 ",Type: Micro,http://www.aeronautbrewing.com,,,
206,Aftershock Brewing Co,28822 Old Town Front St Ste 107,"Temecula, CA 92590-2893 ",Type: Micro,http://www.aftershockbrewingco.com,,,
207,Afterthought Brewing Company,844 N Ridge Ave,"Lombard, IL 60148-1215 ",Type: Micro,http://afterthoughtbrewing.com,,,
209,Against the Grain Brewery,401 E Main St,"Louisville, KY 40202-1110 ",Type: Micro,http://atgbrewery.com,,,
211,Agile Brewing,,",  ",Type: Planning,http://www.agile.beer,,,
212,Agonic Brewing Company LLC,,"Rice Lake, WI 54868-8786",Type: Planning,http://www.agonicbrewing.com,,,
213,"Agrarian Ales, LLC",31115 W Crossroads Ln,"Eugene, OR 97408-9220 ",Type: Micro,http://www.agales.com,,,
214,Ahnapee Brewery,N9153 Cherry Tree Rd Apt 4,"Algoma, WI 54201-9501 ",Type: Micro,http://www.ahnapeebrewery.com,,,
216,Aiken Brewing Co,140 Laurens St SW,"Aiken, SC 29801-3848 ",Type: Brewpub,http://www.aikenbrewingcompany.com,,,
217,Airline Brewing Company,22 Mill Ln,"Amherst, ME 04605-8357 ",Type: Micro,http://www.abcmaine.beer,,,
218,Airways Brewing Co,8611 S 212th St,"Kent, WA 98031-1910 ",Type: Micro,http://www.airwaysbrewing.com,,,
219,Akademia Brewing Company,150 Crane Dr,"Athens, GA 30606-0600 ",Type: Brewpub,http://www.AkademiaBC.com,,,
220,Akasha Brewing Company,909 E Market St Ste 700,"Louisville, KY 40206-1688 ",Type: Micro,http://www.akashabrewing.com,,,
221,Akronym Brewing LLC,,"Akron, OH 4430",Type: Planning,http://www.akronymbrewing.com,,,
222,Akwesasne Mohawk Casino Resort,,"Akwesasne, NY 13655-1800",Type: Planning,http://mohawkcasino.com,,,
223,Alameda Brewing Co,4765 NE Fremont St,"Portland, OR 97213-1724 ",Type: Micro,http://www.alamedabrewing.com,,,
225,Alameda Island Brewing Company,1716 Park St,"Alameda, CA 94501-1416 ",Type: Micro,http://www.alamedaislandbrewingcompany.com,,,
226,Alamo Beer Co,415 Burnet St,"San Antonio, TX 78202-1909 ",Type: Micro,http://www.alamobeer.com,,,
227,Alarmist Brewing Co,4055 W Peterson Ave Ste REAR,"Chicago, IL 60646-6072 ",Type: Micro,http://alarmistbrewing.com,,,
228,Alaskan Brewing Co.,5429 Shaune Dr,"Juneau, AK 99801-9540 ",Type: Regional,http://www.alaskanbeer.com,,,
229,Albia Brewing Co,11 Benton Ave E,"Albia, IA 52531-2032 ",Type: Brewpub,http://www.albiabrewingcompany.blogspot.com,,,
232,Alcatraz Brewing,,"Palm Coast, FL 32137-2743",Type: Planning,http://www.alcatraz.beer,,,
234,Alchemist Cannery,35 Crossroad,"Waterbury, VT 05676-9003 ",Type: Micro,http://www.alchemistbeer.com,,,
235,Aldus Brewing Company,555 Centennial Ave,"Hanover, PA 17331-3936 ",Type: Micro,http://www.aldusbrewing.com,,,
236,Ale Asylum,2002 Pankratz St,"Madison, WI 53704-4024 ",Type: Regional,http://www.aleasylum.com,,,
238,Ale Industries,3096 E 10th St,"Oakland, CA 94601-2960 ",Type: Micro,http://www.aleindustries.com,,,
239,Ale Republic,28 Arroyo Seco,"Cedar Crest, NM 87008 ",Type: Micro,http://www.alerepublic.com,,,
240,Ale Spike,1244 Moore Rd,"Camano Island, WA 98282 ",Type: Micro,http://www.alespike.com,,,
241,Aleman Brewing,3304 N Knox Ave,"Chicago, IL 60641-4434 ",Type: Micro,http://www.alemanchicago.com,,,
242,Alematic Artisan Ales,,"Huber Heights, OH 45424-3857",Type: Planning,http://www.alematicbrewing.com,,,
243,Alesatian Brewing Co.,23 N Loudoun St,"Winchester, VA 22601-4715 ",Type: Brewpub,http://www.alesatianbrewing.com,,,
244,AleSmith Brewing Co,9990 Alesmith Ct,"San Diego, CA 92126-4200 ",Type: Regional,http://www.alesmith.com,,,
245,Alesong Brewing and Blending,1000 Conger St Ste C,"Eugene, OR 97402-2950 ",Type: Micro,http://www.alesongbrewing.com,,,
246,Alewerks Brewing Company,189B Ewell Rd,"Williamsburg, VA 23188-2185 ",Type: Micro,http://www.alewerks.com,,,
247,Alewife NYC,,"Long Island City, NY 11101-5879",Type: Planning,http://www.alewife.beer,,,
248,Alexandria Brewing Company,,"Alexandria, KY 41001-1454",Type: Planning,http://www.alexandriabrewingcompany.com,,,
249,Alibi Ale Works,204 E Enterprise St,"Incline Village, NV 89451-9456 ",Type: Micro,http://www.alibialeworks.com,,,
250,Alien Brewpub,6601 Uptown Blvd NE Ste B,"Albuquerque, NM 87110-4207 ",Type: Brewpub,http://www.abqbrewpub.com,,,
251,Align Brewing Co,8680 Miralani Dr,"San Diego, CA 92126-6300 ",Type: Micro,http://www.facebook.com/alignbrewing,,,
252,All City Brew Co.,,",  ",Type: Planning,http://www.allcitybrewco.com,,,
253,All Rise Brewing Co,235 N Ashland Ave,"Chicago, IL 60607-1401 ",Type: Brewpub,http://www.allrisebrewing.com,,,
254,All Saints Brewing Co,1602 State Route 119,"Greensburg, PA 15601-7317 ",Type: Micro,http://www.allsaintscraftbrewing.com,,,
255,Allagash Brewing Co,50 Industrial Way,"Portland, ME 04103-1270 ",Type: Regional,http://www.allagash.com,,,
256,All-American Ale Works,5120 E La Palma Ave Ste 103,"Anaheim, CA 92807-2082 ",Type: Micro,http://www.all-americanaleworks.com,,,
257,Allegheny City Brewing,507 Foreland St,"Pittsburgh, PA 15212-4910 ",Type: Micro,http://www.alleghenycitybrewing.com,,,
258,Allegory Brewing,777 NE 4th St,"McMinnville, OR 97128-4502 ",Type: Micro,http://www.allegorybrewing.com,,,
259,Allentown Brew Works,812 Hamilton St,"Allentown, PA 18101-2437 ",Type: Brewpub,http://www.thebrewworks.com,,,
260,Alliance Brewing Company,1130 Sevier Ave,"Knoxville, TN 37920 ",Type: Micro,http://www.alliancebrewing.com,,,
262,Alloy Brewing Company,2700 Coon Rapids Blvd NW,"Coon Rapids, MN 55433-3955 ",Type: Micro,http://www.alloybrewingcompany.com,,,
263,Alltech's Lexington Brewing,475 Angliana Ave,"Lexington, KY 40508-3134 ",Type: Regional,http://www.Kentuckyale.com,,,
264,Alluvial Brewing Company,3715 W 190th St,"Ames, IA 50014-9316 ",Type: Micro,http://www.alluvialbrewing.com,,,
